filename,extension,size_bytes,sha256,provisional_category
A-ZION_Assertions_v1.xlsx,.xlsx,6223,38c06c11be8e73e37620c9b381d6af8552306b853d86cdbd5013a3361e3b5c26,Knowledge / Evidence / Assertions
A-ZION_Asset_Master_Database_v1_0.xlsx,.xlsx,154156,fcc3f32ffd5e96f4d9cb13c895ca426903b33819fb439f96f6451ff1924964fb,Engines / Databases / Runtime Workbooks
A-ZION_BOOK001_Knowledge_Extraction_Package.docx,.docx,37606,81ae7649f14c4910e0a84ee207dba8c62032fbefcd4ca6dcfca4daa2ca2e2235,Knowledge / Evidence / Assertions
A-ZION_BP2-02B_Upload_Intake_Checkpoint_v0.1.docx,.docx,41951,bca928ed6139cd765861e3a9d495eeb361c64c87d6c8e8e5301c4ea0376e3a7b,Backfill Checkpoints
A-ZION_BP2-02B_Upload_Intake_Checkpoint_v0.1.md,.md,11312,a1c7db3254c97b808d047dbbdb164f8f9ebc0b5f53caae267ec80cd3a313dc40,Backfill Checkpoints
A-ZION_CM001_Mental_Models_Principle_Card.docx,.docx,37694,577b8bbfc8eb729e3a917982cb069d51d39404bf680a40864eff48b449d2f88a,Experts / Principles / Dossiers
A-ZION_Constitution_v1.0.docx,.docx,37322,8c58e71491315c0973c56422a7f7fa3e4ad838a55d11e909ec12b9639aa0baee,Other / Review Needed
A-ZION_Constitution_v1.0_CERTIFIED_LOCKED.docx,.docx,37339,bdd0086a284e999e687a54155fae90bfedaa5061eb89d7d3a155dee378443a64,Certified Foundation Assets
A-ZION_Core_Database_v1_0.xlsx,.xlsx,8990,125f7290a5d4c467a2c27157a031c89d6c3051bb499e17af8c3f936e85bc95bc,Engines / Databases / Runtime Workbooks
A-ZION_Core_v0.1_Sprint009.zip,.zip,3762,8b90ab404eedc18a97d85a2388f2ca7d4047d66294637abe67575fc30016d913,Sprint Workbooks / Core Builds
A-ZION_Core_v0.2_Sprint010.zip,.zip,2692,ac4287836a1111c0ea53d927257ac3a5148531bfb9e9074ba850ab1c59d39269,Sprint Workbooks / Core Builds
A-ZION_Core_v0.3_Sprint011.zip,.zip,7131,0cc5421d51d12fbbdf0c97e0e6fa15e9e2f2e131e675a7d913195bdde1b9e259,Sprint Workbooks / Core Builds
A-ZION_Core_v0.4_Sprint012_Offline_Test_Harness.zip,.zip,8261,6e5af860e150e13cac9e03fb345992b87cbe5e7cc1da14c102276ce25cd3fcd3,Sprint Workbooks / Core Builds
A-ZION_Core_v0.5_Sprint013_Engines.zip,.zip,1969,b36b3eebdff844c7f2aebc7c4c72b9c04c02a822f605e4f2ca4d2316c2a5f70d,Sprint Workbooks / Core Builds
A-ZION_Core_v0_5.zip,.zip,6291,33483ca8481fbba0716e1647d8ea1851e6be27998c11dc099c56c9f682f134c1,ZIP Packages / Implementation Archives
A-ZION_DR-0002_MSFT_Live_Test.xlsx,.xlsx,5493,b6219a2a34b30253de3c1d2d5ec104d90c1bc09fbb217754804d58121b20262f,Investment Research / Data Governance
A-ZION_DR-0002_MSFT_Research_Complete_v1.xlsx,.xlsx,8688,777ce3f074a8174a52b29ee324fddf058778a7825d2e2b2c6170586ea70ce73b,Investment Research / Data Governance
A-ZION_DR-0002_MSFT_Valuation_Sheet_v1.xlsx,.xlsx,8235,2afa607253fdecebfd1e8ad942dbf43fd90f86a76e48d1915c4f6b8ce3803e93,Investment Research / Data Governance
A-ZION_Data_Governance_Standard_v1.0.docx,.docx,37563,ceb4168e901afe6d1af4611600fa2f7be06bbf1d599ea582d761b3b1467d272a,Investment Research / Data Governance
A-ZION_Decision_Engine_v1_0.xlsx,.xlsx,7680,73acb57b215c838319b39a81a387d1fe5f18be7d8e23170c802e6df57dbd3c49,Engines / Databases / Runtime Workbooks
A-ZION_EXPERT001_Graduation_Roadmap.docx,.docx,37316,9b30f6c91c051735f639a4edaa3433c9abb50e1899d7cb9dfeff75e496f863c0,Experts / Principles / Dossiers
A-ZION_EXPERT001_Howard_Marks_Profile.docx,.docx,37465,6f003957db884673ace3f2ecf94b5af20692a4f7581f59e2cf0a3f53184ae11d,Experts / Principles / Dossiers
A-ZION_EXPERT001_Source_Inventory_v1.docx,.docx,37558,3b1873327649e93171e1896ef9865d904df4dded74049e92ca449f9c09d2992e,Experts / Principles / Dossiers
A-ZION_EXPERT002_Warren_Buffett_Profile.docx,.docx,37655,a54cdd1c2a6aaa583b844089e48b2e903d377494f189403196ea26cc9bbd9c2d,Experts / Principles / Dossiers
A-ZION_EXPERT003_Charlie_Munger_Foundation.docx,.docx,37458,26b290e6b18abd9324df8553dd94a5a2b6e5f1b4f5e94dfacbebff15da2f178f,Experts / Principles / Dossiers
A-ZION_Evidence_Library_v1.docx,.docx,37332,329f374c82b456374901bead2ead0ee645b76981ae93751814982dcd4ca06cbe,Knowledge / Evidence / Assertions
A-ZION_Evidence_Sprint_001.xlsx,.xlsx,5929,e20f818d66f77b9041e6fa4fe9d0b71e3f5249dbf7745cbf9184ddda8ae59254,Knowledge / Evidence / Assertions
A-ZION_Foundation_Book_BUILD_7_Part_VI.docx,.docx,37383,b8e5474bda5d0b48df14a4760464d616bb7a9db34a811437d232f84756c904e8,Foundation Book / Foundation Reference
A-ZION_Foundation_Book_BUILD_8_Part_VII.docx,.docx,37374,c88e8e729ba6608af3991082e29d46cff072a7c6b1e0d13a19c6fb0330ef6693,Foundation Book / Foundation Reference
A-ZION_Foundation_Book_Editorial_Pass_v1.docx,.docx,37300,276dca330909852da108661dc5ada912a0e826b9eaf7fbf53a16b8bbfa4fc24c,Foundation Book / Foundation Reference
A-ZION_Foundation_Book_Enterprise_Edition_v1.0.docx,.docx,37663,5b77543e275d88816cf0314dfb42f6eece85e6ed8ec091135db942854ce489a7,Foundation Book / Foundation Reference
A-ZION_Foundation_Book_Enterprise_QA_Pass.docx,.docx,37270,fc6203916cdb3f502cddc1e78a074c56de53ecf766cfa46d2ad5a36c77b17f34,Foundation Book / Foundation Reference
A-ZION_Foundation_Book_Enterprise_v1.0_Production_Draft.docx,.docx,40431,edc50e119e8002d507fc437d2f6b5e982a1baaae019b1643251b9604b89bb085,Foundation Book / Foundation Reference
A-ZION_Foundation_Book_RC1.docx,.docx,37184,44bdcc81ecb5f25fa6558cbf828be704a25404d58cb1c234d756a91279c84f9b,Foundation Book / Foundation Reference
A-ZION_Foundation_Book_v1.0_FINAL_RELEASE.docx,.docx,37303,f7c65ffbc8331af6d098b8bdc23c256d8ffe69f55900dcf2ad140db6fd68fe9f,Foundation Book / Foundation Reference
A-ZION_Foundation_v1.0_Enterprise_Master_Reference.docx,.docx,37518,90e67cd90efe422bb13de71c9984f538898c1cdef17711fd8381136666591118,Foundation Book / Foundation Reference
A-ZION_Gold_Backup_Progress_2026-07-06.docx,.docx,37036,a21d73da373aeb6c80e5420ff7733312e3e43e6a13a2b02f4433ea4de9188a45,Gold Master / Gold Validation
A-ZION_Gold_Master_Index_v1.0(1).docx,.docx,12915,454da1a5b7abcc61164dec9bc8d7e4f697c069de30237038072a5ac0810a1588,Gold Master / Gold Validation
A-ZION_Gold_Master_Index_v1.0.docx,.docx,40206,425a602e3fc380a9d139d839e5fe20deaf73fc6bcc44bccbd08141c2c6bd664c,Gold Master / Gold Validation
A-ZION_Gold_Master_Index_v1_1.docx,.docx,20009,7fcf1760fd56b79c4fc9bee445772e45fa1dbc732bf050367b6615dae0067405,Gold Master / Gold Validation
A-ZION_Gold_Master_Index_v1_2.docx,.docx,26954,b07058933f72b61d8bafaf85535a2c20eeba4060110bccce86a1c84e1b4de06c,Gold Master / Gold Validation
A-ZION_HM001_Principle_Card.docx,.docx,37379,4dd2790fe45c5c746a65681ee19604d3f2af225ac1833293fedcd188574de1d3,Experts / Principles / Dossiers
A-ZION_HM001_Principle_Card_v2_Evidence_Trail.docx,.docx,37534,9a8a8b287d071c4e64a83e1ca120ae4d66e0e6a7022ce8b51a821732113f736e,Knowledge / Evidence / Assertions
A-ZION_HM002_Second_Level_Thinking_Principle_Card.docx,.docx,37609,7502679901ecc57473657f4748561998da1be4046562952810e357145dd27097,Experts / Principles / Dossiers
A-ZION_HM003_Price_vs_Value_Principle_Card.docx,.docx,37615,1f88fceb62d30bc8e56aeba43297bdea8a1a5a57bef4b5a775fb0102b9195ff6,Experts / Principles / Dossiers
